respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.00611843029037118,0.117969892919064
26708,0.0204385705292225,0.00330121070146561
26709,0.424329400062561,0.974896728992462
26710,0.822407364845276,0.992168605327606
26711,0.110462859272957,0.0685039535164833
26712,0.885104298591614,0.997846245765686
26713,0.103437140583992,0.79216730594635
26714,0.013079053722322,0.00819004792720079
26715,0.00161695398855954,0.00950612407177687
26716,0.0759257376194,0.989157199859619
26717,0.000352126924553886,0.500586748123169
26718,0.30751571059227,0.619773685932159
26719,0.0281549002975225,0.996993184089661
26720,0.000567991985008121,0.482193529605865
26721,0.371850848197937,0.524631977081299
26722,0.0366446115076542,0.0444312617182732
26723,0.971454083919525,0.997655034065247
26724,0.00482276175171137,0.950142562389374
26725,0.000229257173486985,0.00309920613653958
26726,0.00882427860051394,0.00135723908897489
26727,0.630039274692535,0.987525343894958
26728,0.0292634405195713,0.450336843729019
26729,0.0806237757205963,0.965957760810852
26730,0.00751461647450924,0.0725324153900146
26731,0.00107091735117137,0.792226612567902
26732,0.0119043607264757,0.0131664155051112
26733,0.996971249580383,0.997925519943237
26734,0.757952153682709,0.547450304031372
26735,0.00344466464594007,0.542881011962891
26736,0.00605350127443671,0.0567073784768581
26737,0.00648297276347876,0.00811221078038216
26738,0.924681305885315,0.96531093120575
26739,0.011108772829175,0.519941747188568
26740,0.0218499135226011,0.0139035284519196
26741,0.00113289000000805,0.986333549022675
26742,0.00577443744987249,0.453391999006271
26743,0.00484324200078845,0.756813228130341
26744,0.00833706371486187,0.946088671684265
26745,0.00303596281446517,0.987082719802856
26746,0.0484735742211342,0.0833962559700012
26747,0.0023948960006237,0.00695763155817986
26748,0.016052795574069,0.0178731307387352
26749,0.0332032181322575,0.506274461746216
26750,0.384633451700211,0.99165803194046
26751,0.663818895816803,0.955386102199554
26752,0.0669282898306847,0.0431885942816734
26753,0.0958387702703476,0.0746955052018166
26754,0.0806364044547081,0.488037079572678
26755,0.00382650061510503,0.75334894657135
26756,0.0013720445567742,0.00032746625947766
26757,0.163800269365311,0.746559202671051
26758,0.803182482719421,0.977467238903046
26759,0.000222724906052463,0.0824416950345039
26760,0.000619998201727867,0.011684169061482
26761,0.164447873830795,0.700806796550751
26762,0.141773253679276,0.986598253250122
26763,0.957095921039581,0.985207438468933
26764,0.992738783359528,0.99751889705658
26765,0.00125035224482417,0.562496185302734
26766,0.00442162016406655,0.0145606128498912
26767,0.990364730358124,0.889031827449799
26768,0.00275718583725393,0.478355348110199
26769,0.00652844971045852,0.0362328812479973
26770,0.00216590217314661,0.195009961724281
26771,0.000777807668782771,0.0375437252223492
26772,0.0111995069310069,0.410993486642838
26773,0.00122800911776721,0.202656432986259
26774,0.00174672529101372,0.73823344707489
26775,0.000221668597077951,0.598051249980927
26776,0.137288704514503,0.122558273375034
26777,0.0289764236658812,0.99089127779007
26778,0.0112295988947153,0.00202739681117237
26779,0.431270688772202,0.628617584705353
26780,0.00959327351301908,0.996641278266907
26781,0.0327438190579414,0.23804135620594
26782,0.00665396591648459,0.208423927426338
26783,0.000676624302286655,0.0633805394172668
26784,0.0266837105154991,0.956335425376892
26785,0.86579042673111,0.659672796726227
26786,0.0041413065046072,0.0893304720520973
26787,0.00967375189065933,0.671159744262695
26788,0.000683939957525581,0.992820084095001
26789,0.000476808723760769,0.0208943150937557
26790,0.000432798115070909,0.0618594326078892
26791,0.00552119221538305,0.00125321443192661
26792,0.00490220868960023,0.506478548049927
26793,0.0684575662016869,0.99932324886322
26794,0.293014943599701,0.970766425132751
26795,0.0192925930023193,0.990840792655945
26796,0.000529998331330717,0.000773506180848926
26797,0.0856113359332085,0.934148728847504
26798,0.26604562997818,0.445383131504059
26799,0.0919298678636551,0.592479348182678
26800,0.0402545295655727,0.996576368808746
26801,0.0176817458122969,0.451887726783752
26802,0.0307063236832619,0.109198071062565
26803,0.0209213439375162,0.356944382190704
26804,0.00360271451063454,0.00116563763003796
26805,0.00764799769967794,0.00531277246773243
26806,0.000297244288958609,0.995492815971375
26807,0.44022661447525,0.966552555561066
26808,0.00359294353984296,0.144752264022827
26809,0.315107345581055,0.0370813868939877
26810,0.0153584526851773,0.0408853851258755
26811,0.000862652959767729,0.00629290984943509
26812,0.225074753165245,0.982458174228668
26813,0.528830528259277,0.280845403671265
26814,0.000560628192033619,0.928495407104492
26815,0.000258034939179197,0.000235042578424327
26816,0.00902196764945984,0.0536328032612801
26817,0.00169984740205109,0.453302830457687
26818,0.023079602047801,0.104659281671047
26819,0.0234318301081657,0.056635569781065
26820,0.012068978510797,0.00720660109072924
26821,0.00736119039356709,0.845746874809265
26822,0.0030473480001092,0.864780783653259
26823,0.105384439229965,0.432738661766052
26824,0.00174984184559435,0.361706912517548
26825,0.903267085552216,0.91549026966095
26826,0.00582078984007239,0.991020262241364
26827,0.000338595098583028,0.00568206654861569
26828,0.0188011229038239,0.0195600185543299
26829,0.985960602760315,0.994816839694977
26830,0.00120673282071948,0.918189108371735
26831,0.15851217508316,0.993660151958466
26832,0.000324217253364623,0.970807433128357
26833,0.00488878693431616,0.594120740890503
26834,0.109349764883518,0.439916789531708
26835,0.184515088796616,0.938793897628784
26836,0.138124912977219,0.565343379974365
26837,0.010363744571805,0.000544410140719265
26838,0.0110871866345406,0.637552857398987
26839,0.00505523756146431,0.487915873527527
26840,0.0146597344428301,0.118387758731842
26841,0.754177927970886,0.936664581298828
26842,0.0113766947761178,0.0439180769026279
26843,0.00441190600395203,0.00114793609827757
26844,0.0076302494853735,0.070633240044117
26845,0.00219995924271643,0.749897480010986
26846,0.00270532723516226,0.965925276279449
26847,0.0712674781680107,0.0991587117314339
26848,0.00163694587536156,0.755017757415771
26849,0.495795488357544,0.865830898284912
26850,0.716751039028168,0.768206238746643
26851,0.00111925997771323,0.0018965391209349
26852,0.0012210929999128,0.000393720081774518
26853,0.0431315451860428,0.239045515656471
26854,0.000532749749254435,0.00730713829398155
26855,0.15853776037693,0.989539325237274
26856,0.00136753276456147,0.000516088039148599
26857,0.712600767612457,0.305689007043839
26858,0.0151983378455043,0.391075402498245
26859,0.000737327383831143,0.00418505864217877
26860,0.0167735647410154,0.0197496525943279
26861,0.0234039835631847,0.0252639409154654
26862,0.0008829579455778,0.0693120658397675
26863,0.00297061307355762,0.263313204050064
26864,0.193221420049667,0.0992280840873718
